surface,normalized,dictionary,pos
–,–,–,Foreign
시행일,시행일,시행일,Noun
2024년,2024년,2024년,Number
02월,02월,02월,Number
8일,8일,8일,Number
이전,이전,이전,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2024년,2024년,2024년,Number
1월,1월,1월,Number
5일,5일,5일,Number
2024년,2024년,2024년,Number
2월,2월,2월,Number
7일,7일,7일,Number
적용,적용,적용,Noun
2023년,2023년,2023년,Number
11월,11월,11월,Number
15일,15일,15일,Number
2024년,2024년,2024년,Number
1월,1월,1월,Number
4일,4일,4일,Number
적용,적용,적용,Noun
2023년,2023년,2023년,Number
4월,4월,4월,Number
13일,13일,13일,Number
2023년,2023년,2023년,Number
11월,11월,11월,Number
14일,14일,14일,Number
적용,적용,적용,Noun
2021년,2021년,2021년,Number
10월,10월,10월,Number
8일,8일,8일,Number
2023년,2023년,2023년,Number
4월,4월,4월,Number
12일,12일,12일,Number
적용,적용,적용,Noun
2021년,2021년,2021년,Number
1월,1월,1월,Number
18일,18일,18일,Number
2021년,2021년,2021년,Number
10월,10월,10월,Number
7일,7일,7일,Number
적용,적용,적용,Noun
2020년,2020년,2020년,Number
1월,1월,1월,Number
29일,29일,29일,Number
2021년,2021년,2021년,Number
1월,1월,1월,Number
17일,17일,17일,Number
적용,적용,적용,Noun
2019년,2019년,2019년,Number
10월,10월,10월,Number
23일,23일,23일,Number
2020년,2020년,2020년,Number
1월,1월,1월,Number
28일,28일,28일,Number
적용,적용,적용,Noun
2018년,2018년,2018년,Number
7월,7월,7월,Number
11일,11일,11일,Number
2019년,2019년,2019년,Number
10월,10월,10월,Number
22일,22일,22일,Number
적용,적용,적용,Noun
2018년,2018년,2018년,Number
5월,5월,5월,Number
11일,11일,11일,Number
2018년,2018년,2018년,Number
7월,7월,7월,Number
10일,10일,10일,Number
적용,적용,적용,Noun
2017년,2017년,2017년,Number
3월,3월,3월,Number
31일,31일,31일,Number
2018년,2018년,2018년,Number
5월,5월,5월,Number
10일,10일,10일,Number
적용,적용,적용,Noun
2017년,2017년,2017년,Number
1월,1월,1월,Number
24일,24일,24일,Number
2017년,2017년,2017년,Number
3월,3월,3월,Number
30일,30일,30일,Number
적용,적용,적용,Noun
2017년,2017년,2017년,Number
1월,1월,1월,Number
9일,9일,9일,Number
2017년,2017년,2017년,Number
1월,1월,1월,Number
23일,23일,23일,Number
적용,적용,적용,Noun
2016년,2016년,2016년,Number
9월,9월,9월,Number
20일,20일,20일,Number
2017년,2017년,2017년,Number
1월,1월,1월,Number
8일,8일,8일,Number
적용,적용,적용,Noun
2015년,2015년,2015년,Number
5월,5월,5월,Number
11일,11일,11일,Number
2016년,2016년,2016년,Number
9월,9월,9월,Number
19일,19일,19일,Number
적용,적용,적용,Noun
2014년,2014년,2014년,Number
8월,8월,8월,Number
1일,1일,1일,Number
2015년,2015년,2015년,Number
5월,5월,5월,Number
10일,10일,10일,Number
적용,적용,적용,Noun
맨,맨,맨,Modifier
위로,위로,위로,Noun
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
뉴스,뉴스,뉴스,Noun
홈,홈,홈,Noun
최신,최신,최신,Noun
기사,기사,기사,Noun
정치,정치,정치,Noun
북한,북한,북한,Noun
경제,경제,경제,Noun
마켓,마켓,마켓,Noun
산업,산업,산업,Noun
사회,사회,사회,Noun
전국,전국,전국,Noun
세계,세계,세계,Noun
문화,문화,문화,Noun
건강,건강,건강,Noun
연예,연예,연예,Noun
스포츠,스포츠,스포츠,Noun
피니언,피니언,피니언,Noun
사람,사람,사람,Noun
사람,사람,사람,Noun
인사,인사,인사,Noun
부고,부고,부고,Noun
동정,동정,동정,Noun
CEO,CEO,CEO,Alpha
인터뷰,인터뷰,인터뷰,Noun
비주,비주,비주,Noun
얼,얼,얼,Noun
뉴스,뉴스,뉴스,Noun
영상,영상,영상,Noun
포토,포토,포토,Noun
화보,화보,화보,Noun
#D,#D,#D,Hashtag
그래픽,그래픽,그래픽,Noun
이슈,이슈,이슈,Noun
돋보기,돋보기,돋보기,Noun
헤드라인,헤드라인,헤드라인,Noun
재난,재난,재난,Noun
북한,북한,북한,Noun
포털,포털,포털,Noun
재난,재난,재난,Noun
포털,포털,포털,Noun
북한,북한,북한,Noun
포털,포털,포털,Noun
날씨,날씨,날씨,Noun
테마,테마,테마,Noun
별,별,별,Modifier
뉴스,뉴스,뉴스,Noun
핫,핫,핫,Noun
뉴스,뉴스,뉴스,Noun
톱뉴스,톱뉴스,톱뉴스,Noun
주요,주요,주요,Modifier
뉴스,뉴스,뉴스,Noun
긴급,긴급,긴급,Noun
뉴스,뉴스,뉴스,Noun
단독,단독,단독,Noun
뉴스,뉴스,뉴스,Noun
많이,많이,많이,Modifier
본,본,본,Modifier
뉴스,뉴스,뉴스,Noun
오래,오래,오래,Adverb
머문,머문,머물다,Verb
뉴스,뉴스,뉴스,Noun
모바일,모바일,모바일,Noun
뉴스,뉴스,뉴스,Noun
모바일,모바일,모바일,Noun
앱,앱,앱,Noun
모바일,모바일,모바일,Noun
웹,웹,웹,Noun
비주,비주,비주,Noun
얼,얼,얼,Noun
뉴스,뉴스,뉴스,Noun
외국어,외국어,외국어,Noun
English,English,English,Alpha
中文,中文,中文,Foreign
日本語,日本語,日本語,Foreign
عربي,عربي,عربي,Foreign
Espa,Espa,Espa,Alpha
ñ,ñ,ñ,Foreign
ol,ol,ol,Alpha
Fran,Fran,Fran,Alpha
ç,ç,ç,Foreign
ais,ais,ais,Alpha
뉴스,뉴스,뉴스,Noun
상품,상품,상품,Noun
프리미엄,프리미엄,프리미엄,Noun
뉴스,뉴스,뉴스,Noun
뉴스,뉴스,뉴스,Noun
리더,리더,리더,Noun
인터넷,인터넷,인터넷,Noun
맞춤,맞춤,맞춤,Noun
형,형,형,Suffix
보도자료,보도자료,보도자료,Noun
해외,해외,해외,Noun
배포,배포,배포,Noun
보도자료,보도자료,보도자료,Noun
국내,국내,국내,Noun
배포,배포,배포,Noun
출판물,출판물,출판물,Noun
이매진,이매진,이매진,Noun
연합,연합,연합,Noun
연감,연감,연감,Noun
영문,영문,영문,Noun
연감,연감,연감,Noun
단행본,단행본,단행본,Noun
월간,월간,월간,Noun
마이더스,마이더스,마이더스,Noun
광고,광고,광고,Noun
KTX,KTX,KTX,Alpha
열차,열차,열차,Noun
AREX,AREX,AREX,Alpha
공항철도,공항철도,공항철도,Noun
모바일,모바일,모바일,Noun
PC,PC,PC,Alpha
홈페이지,홈페이지,홈페이지,Noun
출판물,출판물,출판물,Noun
콘텐츠,콘텐츠,콘텐츠,Noun
판매,판매,판매,Noun
보도사진,보도사진,보도사진,Noun
이미지,이미지,이미지,Noun
그래픽,그래픽,그래픽,Noun
동영상,동영상,동영상,Noun
인물,인물,인물,Noun
관련,관련,관련,Noun
사이트,사이트,사이트,Noun
글로벌,글로벌,글로벌,Noun
코리아,코리아,코리아,Noun
본부,본부,본부,Noun
K,K,K,Alpha
VIBE,VIBE,VIBE,Alpha
채용,채용,채용,Noun
IR,IR,IR,Alpha
클럽,클럽,클럽,Noun
유튜브,유튜브,유튜브,Noun
연합뉴스,연합뉴스,연합뉴스,Noun
통통,통통,통통,Noun
컬처,컬처,컬처,Noun
Korea,Korea,Korea,Alpha
Now,Now,Now,Alpha
계약,계약,계약,Noun
제휴,제휴,제휴,Noun
문의,문의,문의,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
윤리,윤리,윤리,Noun
헌장,헌장,헌장,Noun
저작권,저작권,저작권,Noun
규약,규약,규약,Noun
수용,수용,수용,Noun
권익위,권익위,권익위,Noun
원,원,원,Suffix
회,회,회,Noun
콘텐츠,콘텐츠,콘텐츠,Noun
자문,자문,자문,Noun
위원회,위원회,위원회,Noun
고충,고충,고충,Noun
처리,처리,처리,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
독자,독자,독자,Noun
게시판,게시판,게시판,Noun
기사,기사,기사,Noun
제보,제보,제보,Noun
02-398,02-398,02-398,Number
3000,3000,3000,Number
RSS,RSS,RSS,Alpha
사이트,사이트,사이트,Noun
맵,맵,맵,Noun
연합뉴스,연합뉴스,연합뉴스,Noun
서울시,서울시,서울시,Noun
종로구,종로구,종로구,Noun
율곡로,율곡로,율곡로,Noun
2,2,2,Number
길,길,길,Noun
25,25,25,Number
등록,등록,등록,Noun
번호,번호,번호,Noun
문화,문화,문화,Noun
",",",",",",Punctuation
00009,00009,00009,Number
등록,등록,등록,Noun
일자,일자,일자,Noun
1980.12,1980.12,1980.12,Number
.,.,.,Punctuation
29,29,29,Number
발행,발행,발행,Noun
일자,일자,일자,Noun
1980.12,1980.12,1980.12,Number
.,.,.,Punctuation
29,29,29,Number
Tel,Tel,Tel,Alpha
.,.,.,Punctuation
02-398,02-398,02-398,Number
3114,3114,3114,Number
C,C,C,Alpha
Yonhapnews,Yonhapnews,Yonhapnews,Alpha
대표이사,대표이사,대표이사,Noun
성,성,성,Modifier
기홍,기홍,기홍,Noun
